,期数,红球_1,红球_2,红球_3,红球_4,红球_5,蓝球_1,蓝球_2
0,23071,02,11,12,32,34,10,12
1,23070,10,26,29,32,33,03,11
2,23069,08,20,21,25,32,05,07
3,23068,21,22,24,27,31,07,08
4,23067,02,28,30,33,35,02,10
5,23066,06,11,13,30,32,01,03
6,23065,08,14,16,21,25,03,12
7,23064,02,06,09,31,32,03,07
8,23063,04,18,29,31,34,06,09
9,23062,06,08,22,24,30,01,08
10,23061,07,11,21,30,32,05,07
11,23060,02,07,19,24,30,09,12
12,23059,09,13,23,25,28,04,07
13,23058,19,22,29,32,35,05,08
14,23057,01,05,06,19,24,05,11
15,23056,13,22,24,33,34,01,02
16,23055,06,08,12,13,15,01,06
17,23054,19,25,30,31,34,07,09
18,23053,01,03,11,14,20,02,11
19,23052,02,08,11,30,33,05,08
20,23051,03,11,19,29,33,03,12
21,23050,08,09,14,25,29,04,06
22,23049,03,17,22,26,28,07,12
23,23048,07,13,16,25,32,09,11
24,23047,10,12,13,24,25,11,12
25,23046,13,21,25,28,32,02,10
26,23045,07,10,13,28,31,04,05
27,23044,02,06,07,08,15,07,10
28,23043,02,04,17,20,27,01,08
29,23042,02,16,21,23,27,01,08
30,23041,05,08,13,26,35,05,09
31,23040,04,05,18,22,30,05,12
32,23039,02,24,26,30,34,06,07
33,23038,04,10,18,27,32,10,12
34,23037,06,08,16,20,24,07,08
35,23036,01,13,22,26,31,02,10
36,23035,07,14,23,25,29,02,11
37,23034,07,09,10,15,24,04,12
38,23033,04,06,10,11,25,07,09
39,23032,05,06,18,28,30,02,07
40,23031,05,07,08,16,25,03,11
41,23030,06,11,12,20,35,05,12
42,23029,07,25,27,34,35,09,11
43,23028,01,03,29,30,34,04,12
44,23027,09,10,12,15,23,03,06
45,23026,02,13,24,27,30,01,06
46,23025,03,09,27,30,31,11,12
47,23024,11,15,24,27,30,01,10
48,23023,09,21,23,25,33,03,10
49,23022,07,11,15,26,28,08,10
50,23021,02,09,18,23,27,03,05
51,23020,05,06,23,25,28,06,09
52,23019,05,08,09,11,15,06,08
53,23018,04,08,17,26,30,03,11
54,23017,02,05,09,22,27,10,11
55,23016,02,04,12,31,32,07,11
56,23015,08,16,24,25,34,08,12
57,23014,03,08,18,22,24,01,09
58,23013,01,02,09,23,25,02,06
59,23012,07,16,17,18,28,02,03
60,23011,02,07,08,17,25,01,03
61,23010,05,06,13,23,26,01,06
62,23009,01,05,11,15,33,01,10
63,23008,04,09,17,22,25,01,05
64,23007,02,03,24,30,32,01,06
65,23006,02,04,12,27,35,06,07
66,23005,01,03,10,20,29,06,11
67,23004,04,13,15,20,22,04,08
68,23003,05,06,14,21,22,02,09
69,23002,11,14,21,26,27,02,07
70,23001,18,19,24,27,34,11,12
71,22150,06,07,26,29,30,03,12
72,22149,15,19,22,26,28,02,07
73,22148,04,05,06,26,27,07,12
74,22147,04,12,22,28,30,09,11
75,22146,01,21,23,28,35,07,09
76,22145,10,20,29,30,35,06,09
77,22144,03,04,08,15,21,04,07
78,22143,10,13,14,27,33,07,08
79,22142,07,12,14,29,35,01,11
80,22141,05,06,14,24,25,02,04
81,22140,05,15,25,26,29,04,12
82,22139,01,13,14,22,35,02,05
83,22138,05,13,16,27,33,07,12
84,22137,05,06,08,15,20,07,08
85,22136,01,11,15,17,33,03,11
86,22135,09,10,27,31,32,01,03
87,22134,03,16,23,27,32,03,06
88,22133,01,02,14,30,31,06,09
89,22132,02,27,30,34,35,09,12
90,22131,02,06,08,10,17,05,06
91,22130,05,07,15,18,23,05,10
92,22129,10,17,23,34,35,01,04
93,22128,10,19,21,23,35,04,10
94,22127,02,03,08,09,20,04,10
95,22126,04,05,08,22,35,01,03
96,22125,03,07,14,16,19,01,11
97,22124,02,04,11,25,30,06,12
98,22123,02,20,28,29,30,07,10
99,22122,04,15,17,19,25,06,12
100,22121,04,15,16,20,21,04,05
101,22120,11,22,26,30,33,03,05
102,22119,01,09,16,25,29,04,09
103,22118,02,05,15,17,26,02,08
104,22117,09,12,15,21,32,02,07
105,22116,01,07,20,22,31,07,12
106,22115,17,19,20,23,27,03,08
107,22114,11,21,24,27,28,05,10
108,22113,13,15,22,31,33,05,12
109,22112,04,11,18,20,26,06,12
110,22111,06,12,16,19,31,06,10
111,22110,02,13,16,18,23,03,06
112,22109,05,09,24,29,35,05,12
113,22108,04,07,13,26,28,07,11
114,22107,07,09,19,28,29,08,10
115,22106,16,17,21,28,32,04,07
116,22105,01,08,09,21,22,01,04
117,22104,03,05,13,19,25,02,05
118,22103,08,12,16,21,32,01,12
119,22102,01,05,14,20,30,02,04
120,22101,02,04,06,07,08,03,06
121,22100,10,19,20,23,31,03,07
122,22099,07,18,25,27,33,04,05
123,22098,01,03,06,11,13,03,11
124,22097,05,13,22,28,29,05,11
125,22096,16,19,24,27,33,01,06
126,22095,05,08,22,25,35,02,07
127,22094,03,04,07,12,19,02,05
128,22093,07,11,14,21,29,07,10
129,22092,01,04,12,23,29,05,12
130,22091,02,11,20,22,34,04,12
131,22090,01,20,24,25,31,09,12
132,22089,01,20,21,31,33,03,11
133,22088,01,08,10,20,35,06,11
134,22087,04,06,10,24,28,06,12
135,22086,04,10,21,28,31,08,11
136,22085,11,16,31,33,35,06,08
137,22084,03,11,19,25,27,04,12
138,22083,02,09,17,26,32,04,06
139,22082,04,26,27,30,33,02,09
140,22081,05,10,19,31,32,09,10
141,22080,10,17,30,31,34,03,06
142,22079,07,10,19,26,32,08,12
143,22078,02,03,18,20,27,01,02
144,22077,05,10,11,16,19,01,10
145,22076,05,17,30,34,35,02,09
146,22075,04,12,13,17,18,07,09
147,22074,02,06,21,25,28,02,06
148,22073,11,18,21,25,32,02,04
149,22072,01,12,13,15,30,03,07
150,22071,09,15,19,25,29,08,09
151,22070,01,07,17,23,35,07,11
152,22069,02,03,23,28,35,02,09
153,22068,03,06,10,15,23,03,08
154,22067,04,14,15,32,33,10,11
155,22066,02,24,25,26,34,03,12
156,22065,05,10,13,22,28,01,04
157,22064,02,19,22,25,35,05,07
158,22063,02,03,22,26,31,06,10
159,22062,05,09,11,12,31,07,11
160,22061,06,09,19,22,30,01,06
161,22060,02,06,10,11,20,03,09
162,22059,04,15,18,32,34,04,09
163,22058,03,04,24,26,35,07,08
164,22057,06,12,18,21,35,07,10
165,22056,02,11,15,17,31,07,09
166,22055,01,02,12,15,23,04,06
167,22054,05,16,21,23,34,07,10
168,22053,09,17,19,20,25,01,09
169,22052,01,13,18,29,35,04,09
170,22051,01,16,17,19,33,05,06
171,22050,02,10,21,24,30,08,10
172,22049,06,10,20,28,35,01,10
173,22048,16,22,28,29,32,08,09
174,22047,07,10,11,12,33,03,11
175,22046,06,07,12,22,27,03,05
176,22045,02,03,07,12,20,01,05
177,22044,01,02,16,17,20,03,07
178,22043,02,16,17,24,30,09,12
179,22042,08,10,11,29,32,02,06
180,22041,05,15,25,26,33,06,11
181,22040,10,19,25,29,33,08,12
182,22039,01,08,11,22,31,05,11
183,22038,07,09,11,12,26,09,12
184,22037,01,09,17,20,28,06,10
185,22036,18,19,21,26,34,06,07
186,22035,09,11,13,23,31,05,08
187,22034,02,10,24,27,28,06,07
188,22033,08,15,16,19,33,03,04
189,22032,05,09,18,31,32,01,05
190,22031,07,14,16,20,28,04,08
191,22030,12,14,15,21,30,01,09
192,22029,07,08,10,14,17,10,12
193,22028,04,09,16,17,35,01,07
194,22027,03,06,11,31,32,05,12
195,22026,11,14,22,23,27,08,10
196,22025,04,07,22,24,29,01,07
197,22024,01,02,11,30,35,01,12
198,22023,04,05,18,20,25,11,12
199,22022,01,05,14,17,28,06,07
200,22021,11,15,16,18,35,06,09
201,22020,16,17,30,31,35,08,09
202,22019,01,04,07,17,21,01,02
203,22018,16,21,29,31,34,06,09
204,22017,10,14,18,23,25,07,11
205,22016,01,07,17,26,32,01,09
206,22015,01,02,08,12,30,05,12
207,22014,01,04,10,18,32,01,09
208,22013,04,09,16,25,32,05,06
209,22012,03,05,10,33,34,07,10
210,22011,03,05,17,24,32,05,12
211,22010,04,19,25,31,35,02,11
212,22009,13,14,18,31,33,07,10
213,22008,01,02,13,18,34,06,07
214,22007,05,22,23,25,35,03,11
215,22006,01,05,07,17,20,05,12
216,22005,02,13,17,19,34,05,09
217,22004,07,20,27,30,33,03,04
218,22003,02,18,24,25,34,08,12
219,22002,04,06,07,09,24,04,12
220,22001,08,11,19,22,29,03,11
221,21150,04,10,11,23,26,07,10
222,21149,20,26,28,30,35,10,11
223,21148,01,04,12,16,29,04,08
224,21147,01,02,08,12,26,01,07
225,21146,03,05,08,18,20,09,11
226,21145,03,08,25,29,30,01,06
227,21144,03,20,25,30,34,02,09
228,21143,09,17,19,29,34,04,11
229,21142,11,13,17,19,25,02,09
230,21141,02,08,16,29,34,05,12
231,21140,05,24,26,33,35,09,12
232,21139,05,13,18,23,34,08,09
233,21138,09,11,12,15,31,05,11
234,21137,02,07,13,14,19,04,05
235,21136,08,12,19,27,33,02,05
236,21135,04,07,17,29,31,05,06
237,21134,02,06,14,19,28,01,06
238,21133,08,09,17,26,28,06,08
239,21132,04,21,28,29,33,03,11
240,21131,06,08,16,34,35,05,06
241,21130,02,03,14,27,28,05,10
242,21129,02,16,17,18,34,04,10
243,21128,14,17,18,23,27,05,08
244,21127,01,02,15,17,26,02,11
245,21126,01,11,12,34,35,09,12
246,21125,17,19,21,27,31,04,09
247,21124,10,17,22,25,35,07,09
248,21123,08,23,26,27,33,08,09
249,21122,14,15,26,27,29,04,05
250,21121,02,15,19,29,30,02,09
251,21120,05,10,21,25,31,05,11
252,21119,01,02,09,16,30,09,10
253,21118,14,17,18,28,34,02,03
254,21117,11,18,21,22,33,05,06
255,21116,04,25,28,29,35,03,11
256,21115,08,13,19,20,29,06,10
257,21114,08,09,13,29,30,01,11
258,21113,17,18,25,27,28,04,08
259,21112,18,21,22,23,35,11,12
260,21111,07,08,15,19,28,08,09
261,21110,11,14,29,31,32,11,12
262,21109,03,04,07,27,31,06,09
263,21108,05,19,22,26,35,02,06
264,21107,03,05,13,20,25,07,11
265,21106,02,13,14,32,34,02,12
266,21105,07,10,11,17,18,04,09
267,21104,23,25,26,30,33,03,11
268,21103,04,10,23,30,31,05,11
269,21102,02,08,11,16,23,02,07
270,21101,13,18,19,27,32,06,11
271,21100,07,11,23,26,28,02,07
272,21099,15,19,27,28,30,03,04
273,21098,02,07,21,27,33,07,09
274,21097,11,26,30,31,33,03,10
275,21096,07,08,10,20,21,01,05
276,21095,10,15,19,20,30,11,12
277,21094,05,06,24,27,33,05,12
278,21093,20,25,27,28,31,08,11
279,21092,12,14,27,28,34,03,07
280,21091,01,04,10,21,29,03,05
281,21090,06,07,19,26,32,06,12
282,21089,01,17,24,28,35,10,12
283,21088,02,14,31,34,35,01,07
284,21087,10,14,15,25,28,03,10
285,21086,02,03,07,16,17,06,10
286,21085,01,12,15,26,35,10,11
287,21084,02,10,14,30,33,06,09
288,21083,07,09,11,26,35,01,08
289,21082,01,14,22,29,33,03,10
290,21081,05,13,24,29,35,07,08
291,21080,15,16,20,29,30,06,10
292,21079,06,14,19,26,33,08,11
293,21078,02,08,17,19,25,01,05
294,21077,02,06,09,21,25,06,08
295,21076,06,13,22,25,26,02,04
296,21075,06,14,15,17,20,01,05
297,21074,11,14,18,20,25,03,07
298,21073,08,12,14,20,24,06,10
299,21072,02,03,15,22,26,03,11
300,21071,08,11,16,29,35,01,04
301,21070,03,20,21,22,24,06,12
302,21069,01,03,24,32,33,04,06
303,21068,02,20,21,26,30,02,10
304,21067,01,04,22,23,34,08,09
305,21066,24,26,29,34,35,09,11
306,21065,23,25,30,31,35,07,08
307,21064,01,17,19,32,34,06,10
308,21063,05,09,14,29,30,09,11
309,21062,04,06,23,32,34,05,07
310,21061,15,19,20,26,32,04,07
311,21060,09,13,25,31,33,03,07
312,21059,04,16,27,28,35,02,09
313,21058,13,15,17,23,34,01,11
314,21057,05,07,19,20,28,05,07
315,21056,03,11,16,21,26,09,10
316,21055,03,06,10,11,24,10,11
317,21054,03,06,17,20,25,03,09
318,21053,03,06,15,17,35,07,11
319,21052,02,11,13,14,30,09,12
320,21051,01,04,14,16,19,03,04
321,21050,09,22,32,33,35,05,10
322,21049,01,10,22,23,25,02,12
323,21048,04,07,17,21,27,10,12
324,21047,01,06,09,25,33,04,08
325,21046,06,08,12,14,18,06,08
326,21045,01,04,06,11,19,07,09
327,21044,06,18,31,33,35,10,11
328,21043,07,12,17,19,34,01,10
329,21042,09,15,20,23,29,04,05
330,21041,02,05,09,11,32,04,09
331,21040,02,03,09,16,19,03,07
332,21039,04,12,14,21,35,02,11
333,21038,09,11,20,29,32,01,07
334,21037,10,21,27,29,33,04,12
335,21036,08,17,25,28,33,07,11
336,21035,05,11,16,30,32,03,04
337,21034,08,10,14,25,34,07,08
338,21033,01,03,05,30,32,01,05
339,21032,01,11,14,34,35,07,10
340,21031,01,04,19,20,34,03,05
341,21030,18,23,25,26,32,02,07
342,21029,02,06,10,32,33,04,07
343,21028,02,03,05,17,29,04,10
344,21027,09,21,22,26,30,04,12
345,21026,07,11,20,24,27,01,11
346,21025,17,18,23,30,31,10,12
347,21024,11,14,21,24,31,02,10
348,21023,07,09,13,16,32,02,09
349,21022,02,12,22,30,33,02,04
350,21021,16,18,29,33,35,09,12
351,21020,07,21,22,30,33,04,06
352,21019,01,12,13,28,29,03,04
353,21018,02,20,23,26,34,05,10
354,21017,17,21,26,29,32,02,07
355,21016,08,09,10,19,34,01,02
356,21015,04,08,17,19,25,01,07
357,21014,07,13,20,27,29,04,09
358,21013,21,27,28,30,34,08,11
359,21012,06,12,20,23,33,01,09
360,21011,06,09,11,14,21,01,03
361,21010,01,05,16,22,34,08,11
362,21009,01,03,20,29,32,05,12
363,21008,05,19,20,27,33,03,08
364,21007,05,23,30,34,35,08,10
365,21006,04,22,25,28,35,04,05
366,21005,03,07,10,12,35,03,05
367,21004,05,10,17,23,28,02,08
368,21003,07,21,28,31,35,04,10
369,21002,02,16,26,31,34,09,11
370,21001,02,06,12,19,33,08,09
371,20134,08,11,13,22,25,04,07
372,20133,11,24,26,33,35,08,09
373,20132,03,15,16,17,21,07,10
374,20131,08,25,27,29,35,02,03
375,20130,16,17,23,26,32,02,12
376,20129,10,22,27,33,34,01,11
377,20128,09,12,13,26,33,04,10
378,20127,01,04,17,18,26,03,10
379,20126,01,04,09,22,28,04,12
380,20125,01,02,03,08,22,01,04
381,20124,11,15,24,26,35,04,05
382,20123,01,07,11,15,21,04,11
383,20122,08,19,29,34,35,06,11
384,20121,09,17,27,28,35,03,08
385,20120,05,25,26,30,35,04,10
386,20119,14,22,24,28,32,07,08
387,20118,01,09,15,30,33,04,09
388,20117,07,19,20,23,24,05,10
389,20116,08,10,12,16,22,03,09
390,20115,01,09,18,19,23,01,09
391,20114,10,12,21,24,30,03,07
392,20113,06,14,18,28,33,02,05
393,20112,08,11,13,30,32,02,06
394,20111,05,07,09,20,28,02,07
395,20110,11,16,20,21,28,05,11
396,20109,02,20,21,23,32,06,12
397,20108,02,03,06,07,33,08,09
398,20107,01,04,13,17,28,03,07
399,20106,02,03,11,14,27,04,10
400,20105,03,08,12,13,22,04,12
401,20104,03,12,23,26,30,04,07
402,20103,07,12,13,19,23,02,08
403,20102,07,11,18,20,29,09,12
404,20101,03,04,05,09,34,07,09
405,20100,04,05,08,22,33,07,10
406,20099,02,03,11,15,27,04,12
407,20098,04,09,15,24,35,04,10
408,20097,05,25,27,30,34,06,12
409,20096,07,08,10,25,28,03,11
410,20095,02,18,25,26,32,02,07
411,20094,04,06,07,08,16,02,08
412,20093,06,14,25,27,28,04,11
413,20092,08,11,17,31,35,07,11
414,20091,12,16,20,23,31,05,12
415,20090,05,06,27,28,29,11,12
416,20089,13,16,20,22,27,01,02
417,20088,02,07,23,26,35,01,12
418,20087,01,04,20,23,29,04,08
419,20086,08,11,15,20,28,04,10
420,20085,03,04,11,15,28,02,03
421,20084,02,10,20,24,31,06,12
422,20083,01,02,17,32,34,04,09
423,20082,02,11,12,21,34,04,08
424,20081,01,13,15,32,35,08,10
425,20080,03,06,22,24,25,09,10
426,20079,04,16,24,29,35,02,12
427,20078,14,18,20,28,34,10,11
428,20077,17,23,28,29,32,01,03
429,20076,01,08,18,28,30,10,12
430,20075,02,09,10,21,35,01,07
431,20074,03,09,10,12,21,04,11
432,20073,04,10,12,23,27,08,09
433,20072,11,15,18,20,27,05,06
434,20071,01,12,16,28,33,03,12
435,20070,01,22,30,31,32,04,12
436,20069,05,07,26,30,31,07,10
437,20068,15,20,23,26,33,02,08
438,20067,01,08,14,16,28,04,10
439,20066,06,14,21,34,35,03,10
440,20065,13,15,26,32,33,05,07
441,20064,05,10,23,34,35,01,11
442,20063,11,18,20,21,33,06,07
443,20062,01,05,14,23,31,02,07
444,20061,07,08,12,21,26,01,06
445,20060,12,14,25,34,35,03,12
446,20059,01,15,22,28,32,03,11
447,20058,01,15,19,26,27,05,10
448,20057,17,20,21,22,31,02,08
449,20056,03,11,25,29,34,03,06
450,20055,03,04,12,18,34,10,12
451,20054,11,14,15,19,20,03,07
452,20053,02,15,18,21,27,03,06
453,20052,09,11,26,28,35,06,07
454,20051,02,07,09,19,33,01,07
455,20050,03,14,16,22,34,02,06
456,20049,03,11,15,22,30,08,10
457,20048,03,09,10,15,16,07,09
458,20047,04,18,27,28,30,03,10
459,20046,15,24,27,30,34,04,12
460,20045,02,09,16,23,27,03,08
461,20044,01,03,22,28,30,02,05
462,20043,12,13,17,31,32,01,06
463,20042,03,04,05,11,22,05,06
464,20041,07,13,20,29,34,04,07
465,20040,02,17,20,28,29,01,07
466,20039,01,05,15,22,31,02,09
467,20038,04,15,20,22,24,01,09
468,20037,01,04,10,11,14,02,05
469,20036,01,05,11,12,26,02,07
470,20035,10,11,22,26,28,02,04
471,20034,11,13,20,27,31,02,04
472,20033,07,19,20,31,34,05,08
473,20032,02,03,09,16,32,03,04
474,20031,01,02,05,15,21,04,05
475,20030,01,08,17,27,30,05,06
476,20029,11,14,17,22,30,07,09
477,20028,04,05,28,34,35,01,08
478,20027,04,07,20,25,32,03,09
479,20026,03,15,26,32,34,08,12
480,20025,02,14,21,22,26,05,07
481,20024,03,05,06,24,30,03,07
482,20023,04,11,23,26,30,01,06
483,20022,04,14,20,28,35,02,03
484,20021,10,12,24,31,33,04,09
485,20020,08,10,12,26,32,05,09
486,20019,01,12,22,23,33,01,12
487,20018,09,14,16,24,26,04,12
488,20017,01,06,07,09,10,02,11
489,20016,04,08,19,31,35,01,02
490,20015,01,07,23,24,26,03,07
491,20014,03,07,09,17,21,03,06
492,20013,01,04,05,11,35,03,09
493,20012,01,06,18,32,34,01,03
494,20011,02,13,19,22,23,02,07
495,20010,01,08,13,24,32,02,09
496,20009,19,29,31,34,35,06,10
497,20008,14,17,19,24,32,01,06
498,20007,02,10,19,24,30,05,08
499,20006,09,22,25,31,32,08,12
500,20005,06,10,33,34,35,01,03
501,20004,17,20,21,29,30,05,09
502,20003,23,25,26,30,34,03,07
503,20002,03,07,18,25,30,02,07
504,20001,17,25,26,32,34,04,07
505,19150,07,11,12,16,33,05,07
506,19149,01,02,07,33,35,06,10
507,19148,03,04,07,11,30,08,09
508,19147,09,12,19,22,33,07,08
509,19146,10,11,26,33,34,01,06
510,19145,05,09,19,22,32,03,05
511,19144,02,05,20,28,31,02,11
512,19143,04,22,23,24,32,06,12
513,19142,03,04,26,29,33,06,07
514,19141,02,10,20,21,35,01,12
515,19140,03,07,08,25,27,03,05
516,19139,01,05,07,08,11,06,10
517,19138,04,06,07,20,29,02,04
518,19137,03,05,12,13,26,07,12
519,19136,03,16,20,26,29,03,09
520,19135,04,05,19,25,26,01,11
521,19134,05,06,07,14,17,10,11
522,19133,03,12,24,27,34,01,12
523,19132,03,05,06,13,18,10,12
524,19131,05,06,14,27,29,06,10
525,19130,01,13,20,21,26,04,10
526,19129,10,13,18,23,30,06,12
527,19128,20,21,25,34,35,03,12
528,19127,04,07,08,11,16,09,11
529,19126,05,09,16,18,30,04,07
530,19125,05,08,09,14,34,02,05
531,19124,07,17,26,27,30,06,12
532,19123,03,13,15,26,30,05,12
533,19122,05,19,25,31,33,10,11
534,19121,01,02,03,07,17,04,10
535,19120,06,15,17,22,25,01,09
536,19119,03,06,09,23,34,02,11
537,19118,02,03,13,19,26,02,03
538,19117,01,18,21,25,35,07,08
539,19116,02,10,16,21,23,02,12
540,19115,01,18,21,28,32,05,12
541,19114,03,05,07,20,23,04,11
542,19113,03,11,27,34,35,01,02
543,19112,03,10,16,21,33,05,06
544,19111,06,15,20,23,27,08,10
545,19110,01,19,23,24,30,04,05
546,19109,02,07,08,20,25,11,12
547,19108,24,27,28,31,34,04,08
548,19107,05,09,19,27,35,02,03
549,19106,05,08,10,32,35,02,10
550,19105,01,04,09,14,17,01,06
551,19104,02,07,19,22,28,03,05
552,19103,05,12,22,27,32,04,07
553,19102,05,10,15,19,31,03,06
554,19101,05,11,18,19,27,05,06
555,19100,05,08,12,19,21,06,11
556,19099,04,06,18,27,33,07,09
557,19098,13,15,17,19,22,03,04
558,19097,10,17,20,30,35,10,12
559,19096,02,12,22,23,27,02,06
560,19095,03,12,17,19,31,02,06
561,19094,01,12,14,26,27,07,09
562,19093,16,17,26,29,35,01,07
563,19092,02,11,15,27,30,02,05
564,19091,04,13,20,26,28,03,12
565,19090,13,19,28,30,33,02,12
566,19089,09,14,18,33,34,03,12
567,19088,01,05,18,27,33,06,08
568,19087,05,06,18,19,27,07,12
569,19086,05,15,16,28,31,02,07
570,19085,04,05,06,15,26,08,11
571,19084,12,23,25,34,35,01,07
572,19083,17,24,26,28,32,07,09
573,19082,06,18,20,21,31,03,04
574,19081,06,24,26,30,33,02,07
575,19080,05,13,18,19,24,02,07
576,19079,10,13,16,28,35,04,05
577,19078,05,10,21,26,30,01,07
578,19077,01,15,17,21,33,07,10
579,19076,01,06,11,23,29,01,11
580,19075,05,06,07,11,16,02,11
581,19074,08,09,13,14,34,05,07
582,19073,04,11,19,20,24,08,11
583,19072,02,04,06,09,18,07,10
584,19071,07,13,14,15,22,07,11
585,19070,02,13,15,22,34,02,12
586,19069,08,22,23,33,34,04,06
587,19068,04,05,08,17,27,06,11
588,19067,03,08,11,15,16,02,10
589,19066,04,10,11,18,31,05,08
590,19065,03,08,10,23,27,02,12
591,19064,07,08,13,19,29,11,12
592,19063,05,08,15,18,21,04,08
593,19062,05,16,23,25,28,01,12
594,19061,01,02,13,14,26,05,11
595,19060,01,11,12,18,21,08,10
596,19059,07,08,15,27,32,08,12
597,19058,03,10,13,14,32,07,11
598,19057,08,14,16,34,35,06,12
599,19056,01,07,10,12,23,06,08
600,19055,02,04,06,19,22,02,06
601,19054,02,18,23,27,30,05,10
602,19053,01,11,19,26,35,11,12
603,19052,04,10,15,20,24,07,11
604,19051,11,15,16,20,29,04,08
605,19050,04,15,16,20,35,03,12
606,19049,10,16,22,26,27,07,11
607,19048,06,10,16,29,33,05,11
608,19047,03,04,10,16,32,04,09
609,19046,02,08,14,15,35,10,12
610,19045,01,04,16,19,33,03,12
611,19044,03,06,10,12,31,01,02
612,19043,02,06,07,12,15,06,12
613,19042,04,10,13,28,33,11,12
614,19041,12,19,20,22,28,02,06
615,19040,01,03,31,32,34,01,03
616,19039,01,12,18,26,35,06,12
617,19038,05,11,16,18,27,07,12
618,19037,06,16,26,33,35,04,08
619,19036,03,09,21,28,30,01,12
620,19035,01,03,05,07,18,08,09
621,19034,08,12,15,27,30,01,02
622,19033,01,02,04,16,24,07,09
623,19032,01,04,07,11,30,07,08
624,19031,03,08,21,26,33,04,05
625,19030,07,09,13,14,33,02,04
626,19029,01,04,18,24,28,02,03
627,19028,06,22,28,29,33,02,07
628,19027,16,18,24,25,27,02,07
629,19026,10,12,15,17,19,02,03
630,19025,06,13,16,19,29,03,07
631,19024,11,17,19,29,33,08,09
632,19023,01,03,14,26,30,06,11
633,19022,01,04,14,15,21,01,05
634,19021,07,13,17,24,33,01,10
635,19020,01,08,16,27,34,03,12
636,19019,04,11,19,25,32,01,02
637,19018,03,18,19,26,34,06,12
638,19017,01,05,07,22,25,03,04
639,19016,03,05,13,16,28,02,06
640,19015,02,05,10,13,30,04,06
641,19014,12,14,20,28,31,09,11
642,19013,08,10,15,17,18,01,08
643,19012,05,09,17,18,19,07,10
644,19011,04,12,13,16,17,04,09
645,19010,03,07,24,25,27,02,12
646,19009,03,09,15,18,26,06,12
647,19008,03,08,17,20,24,06,11
648,19007,03,12,16,29,32,01,05
649,19006,14,17,19,25,30,04,08
650,19005,21,26,27,29,34,05,06
651,19004,15,16,17,31,32,03,09
652,19003,04,08,18,20,32,10,12
653,19002,02,07,14,22,31,01,07
654,19001,06,18,23,26,28,03,12
655,18154,14,22,23,26,30,03,05
656,18153,03,06,07,08,21,01,08
657,18152,02,04,05,12,28,08,11
658,18151,04,08,18,29,30,03,07
659,18150,05,12,13,31,34,10,12
660,18149,01,07,10,11,20,03,06
661,18148,02,06,24,33,34,02,03
662,18147,01,11,26,33,35,02,10
663,18146,03,08,09,13,33,01,02
664,18145,09,18,29,31,33,06,11
665,18144,06,17,18,24,31,07,11
666,18143,04,07,20,22,33,01,02
667,18142,19,24,28,29,34,10,11
668,18141,03,07,23,26,33,04,09
669,18140,01,06,08,12,15,03,04
670,18139,05,11,16,28,35,06,09
671,18138,01,23,24,28,33,04,05
672,18137,07,10,22,23,33,08,11
673,18136,03,11,12,19,21,05,11
674,18135,14,19,23,27,34,06,12
675,18134,04,05,19,31,35,02,12
676,18133,08,12,14,15,19,01,10
677,18132,03,16,22,23,27,01,04
678,18131,12,14,21,32,33,02,11
679,18130,03,04,16,18,25,01,11
680,18129,04,07,21,22,29,03,06
681,18128,11,12,14,16,26,08,09
682,18127,01,03,04,11,29,08,12
683,18126,11,13,15,21,27,05,06
684,18125,07,16,20,21,34,04,06
685,18124,08,10,12,19,20,10,11
686,18123,06,09,29,32,35,02,04
687,18122,08,09,21,30,31,05,12
688,18121,06,07,21,29,30,01,10
689,18120,21,22,25,27,30,08,09
690,18119,06,09,11,16,35,02,05
691,18118,04,05,14,21,34,06,09
692,18117,07,11,13,22,29,03,08
693,18116,01,14,17,21,33,07,10
694,18115,02,06,13,18,25,01,02
695,18114,12,18,26,28,29,05,06
696,18113,08,12,27,31,33,04,08
697,18112,03,07,08,09,29,09,10
698,18111,03,16,27,28,32,04,05
699,18110,06,19,21,27,28,03,11
700,18109,10,16,23,25,34,02,05
701,18108,09,10,24,31,32,07,12
702,18107,07,08,09,10,22,03,04
703,18106,04,14,17,24,31,01,04
704,18105,01,16,19,20,31,02,07
705,18104,01,13,14,26,28,07,11
706,18103,14,24,26,28,35,02,03
707,18102,06,07,13,22,24,10,12
708,18101,03,14,15,23,29,04,05
709,18100,06,20,21,26,30,06,09
710,18099,12,13,16,20,21,01,07
711,18098,02,15,18,25,27,05,07
712,18097,10,12,14,18,23,01,04
713,18096,13,14,20,28,34,06,10
714,18095,07,14,18,29,35,05,12
715,18094,11,16,25,30,34,08,10
716,18093,03,11,16,18,33,03,11
717,18092,05,07,14,18,19,04,10
718,18091,06,22,26,28,31,01,07
719,18090,06,20,24,33,34,04,11
720,18089,26,27,28,32,34,06,10
721,18088,08,09,21,25,33,01,08
722,18087,03,14,19,23,25,01,04
