,期数,红球_1,红球_2,红球_3,红球_4,红球_5,红球_6,蓝球
0,23072,02,06,10,24,25,33,09
1,23071,05,12,15,19,24,26,06
2,23070,03,05,25,31,32,33,04
3,23069,12,14,17,20,21,26,02
4,23068,11,12,15,18,29,33,02
5,23067,01,03,12,19,28,32,14
6,23066,02,07,08,10,26,31,06
7,23065,02,14,17,20,26,33,14
8,23064,01,07,11,12,16,18,04
9,23063,04,08,17,20,22,27,13
10,23062,11,19,23,24,26,33,15
11,23061,01,04,06,11,12,22,15
12,23060,09,11,17,19,30,31,11
13,23059,02,06,13,22,27,32,06
14,23058,10,17,22,26,30,33,11
15,23057,02,05,10,17,24,32,03
16,23056,08,14,15,18,23,33,08
17,23055,03,04,20,23,27,32,13
18,23054,05,06,09,10,15,26,12
19,23053,01,07,14,20,27,30,15
20,23052,03,04,05,08,12,17,06
21,23051,22,26,29,30,32,33,14
22,23050,02,07,09,14,22,23,05
23,23049,05,07,14,23,25,27,02
24,23048,02,03,10,24,28,30,08
25,23047,05,07,14,23,31,33,07
26,23046,06,08,17,25,26,28,03
27,23045,03,06,12,21,27,28,04
28,23044,02,08,15,22,24,26,16
29,23043,05,08,12,20,24,28,10
30,23042,10,17,20,23,27,30,10
31,23041,01,06,12,13,15,24,06
32,23040,09,16,17,24,29,31,08
33,23039,02,03,09,13,19,28,09
34,23038,02,09,14,17,31,33,08
35,23037,08,23,25,26,29,31,12
36,23036,13,14,18,19,24,30,09
37,23035,01,04,09,10,20,33,06
38,23034,02,03,09,11,12,17,15
39,23033,08,09,13,23,24,26,05
40,23032,06,19,20,26,28,33,01
41,23031,07,14,27,29,31,33,05
42,23030,02,03,07,16,30,31,06
43,23029,03,07,12,24,28,33,08
44,23028,05,07,10,17,20,22,14
45,23027,08,10,22,27,32,33,08
46,23026,01,18,26,30,31,33,03
47,23025,04,16,20,21,31,32,14
48,23024,03,06,09,17,27,28,03
49,23023,05,08,10,15,24,25,09
50,23022,10,11,18,19,23,31,03
51,23021,02,05,06,19,21,27,04
52,23020,01,12,17,18,26,27,05
53,23019,06,12,26,28,29,32,15
54,23018,10,12,17,19,25,31,13
55,23017,05,11,18,20,26,28,12
56,23016,14,16,19,23,28,30,03
57,23015,02,03,14,21,29,32,08
58,23014,06,07,18,23,27,30,05
59,23013,06,10,14,22,23,33,13
60,23012,03,04,07,22,26,30,06
61,23011,06,07,16,17,21,22,04
62,23010,04,05,13,18,27,29,12
63,23009,03,04,19,23,30,32,06
64,23008,05,13,18,20,26,28,06
65,23007,05,06,09,22,25,31,03
66,23006,02,10,12,14,24,26,05
67,23005,02,06,08,13,14,19,16
68,23004,01,07,15,16,20,25,16
69,23003,05,08,18,25,30,32,06
70,23002,02,06,10,16,18,22,13
71,23001,09,16,18,22,28,32,02
72,22150,01,07,11,12,22,28,05
73,22149,02,22,26,29,32,33,14
74,22148,02,15,16,17,21,31,14
75,22147,02,03,07,13,20,30,10
76,22146,06,07,13,18,26,31,06
77,22145,03,21,25,30,31,33,11
78,22144,07,20,22,23,31,32,05
79,22143,07,08,13,29,30,33,03
80,22142,01,03,13,16,21,27,03
81,22141,05,12,13,17,20,27,14
82,22140,08,09,18,19,20,27,15
83,22139,06,07,09,16,17,19,14
84,22138,02,14,19,21,25,28,11
85,22137,08,21,23,27,28,33,01
86,22136,08,10,14,15,18,22,08
87,22135,09,11,13,24,28,32,06
88,22134,01,05,14,17,24,31,14
89,22133,05,08,16,17,21,25,12
90,22132,01,03,18,26,32,33,04
91,22131,03,05,10,13,19,29,06
92,22130,02,08,15,17,26,28,12
93,22129,10,12,14,22,24,27,07
94,22128,03,12,18,24,27,29,01
95,22127,03,04,09,10,29,33,13
96,22126,01,13,15,17,26,33,13
97,22125,02,03,07,12,20,31,16
98,22124,05,10,13,18,24,26,01
99,22123,10,13,16,20,21,25,05
100,22122,06,08,17,19,24,28,05
101,22121,12,17,22,27,30,31,02
102,22120,02,15,19,26,27,29,02
103,22119,02,05,15,18,26,27,04
104,22118,02,06,07,11,14,33,08
105,22117,04,13,17,18,28,29,06
106,22116,08,14,26,27,30,33,01
107,22115,06,07,18,20,27,29,09
108,22114,01,05,15,19,26,29,13
109,22113,13,14,20,24,27,29,02
110,22112,03,05,08,17,25,31,01
111,22111,02,10,11,13,28,31,01
112,22110,09,13,15,18,20,28,15
113,22109,04,11,13,19,22,33,11
114,22108,01,07,13,17,18,31,15
115,22107,03,09,11,15,19,28,16
116,22106,17,20,22,23,24,31,01
117,22105,06,12,13,15,21,23,15
118,22104,01,08,19,25,26,31,01
119,22103,06,09,12,14,20,28,10
120,22102,09,10,12,18,29,32,14
121,22101,04,16,18,19,27,28,04
122,22100,02,06,07,15,20,21,15
123,22099,01,11,23,24,26,32,15
124,22098,02,03,04,06,21,33,05
125,22097,04,05,10,13,30,31,14
126,22096,03,16,17,19,25,33,07
127,22095,04,13,14,18,20,28,08
128,22094,06,11,13,16,19,31,02
129,22093,21,22,24,28,29,32,14
130,22092,07,10,16,20,21,27,11
131,22091,08,18,20,22,24,28,10
132,22090,01,04,25,27,29,30,07
133,22089,02,07,15,29,31,33,15
134,22088,03,09,15,17,20,22,06
135,22087,05,06,09,13,23,25,08
136,22086,01,04,08,21,23,24,11
137,22085,07,09,14,31,32,33,13
138,22084,03,18,23,24,25,32,09
139,22083,08,12,13,14,19,20,05
140,22082,04,10,11,23,30,32,14
141,22081,04,08,11,21,27,30,01
